strategy,regime,trades,profit_pct,drawdown_pct,win_rate,profit_factor,sharpe,sortino,expectancy,max_consecutive_losses,avg_duration
ADXRegimeFilter,baissier,3,3.07,0.0,100.0,0.0,4.12,-100.0,1.0233333333333332,0,"1 day, 0:00:00"
ADXRegimeFilter,full_12m,20,22.0,2.95,85.0,7.84,0.98,-100.0,1.1,1,"3 days, 5:12:00"
ADXRegimeFilter,haussier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
ADXRegimeFilter,stable,2,1.47,0.0,100.0,0.0,1.12,-100.0,0.735,1,"5 days, 6:00:00"
BollingerMACDReversal,baissier,1,0.38,0.0,100.0,0.0,-100.0,-100.0,0.38,0,0:00:00
BollingerMACDReversal,full_12m,7,5.16,0.0,100.0,0.0,0.99,-100.0,0.7371428571428572,0,15:26:00
BollingerMACDReversal,haussier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
BollingerMACDReversal,stable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
CCIMomentumTrend,baissier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
CCIMomentumTrend,full_12m,14,8.3,1.84,64.3,3.01,0.3,1.29,0.5928571428571429,2,"1 day, 3:09:00"
CCIMomentumTrend,haussier,5,3.15,1.32,80.0,3.28,1.3,-100.0,0.63,1,8:00:00
CCIMomentumTrend,stable,2,0.9,0.53,50.0,2.69,0.52,-100.0,0.45,1,"1 day, 4:00:00"
EMATripleCross,baissier,2,3.86,0.0,100.0,0.0,4.34,-100.0,1.93,0,"2 days, 14:00:00"
EMATripleCross,full_12m,11,13.06,0.95,90.9,13.19,0.76,-100.0,1.1872727272727273,1,22:11:00
EMATripleCross,haussier,1,1.04,0.0,100.0,0.0,-100.0,-100.0,1.04,0,"1 day, 4:00:00"
EMATripleCross,stable,3,3.82,0.0,100.0,0.0,3.09,-100.0,1.2733333333333332,0,"1 day, 1:20:00"
FibonacciPullback,baissier,5,4.79,0.0,100.0,0.0,8.11,-100.0,0.958,0,"1 day, 13:36:00"
FibonacciPullback,full_12m,20,17.59,0.17,90.0,95.84,1.71,-100.0,0.8795,1,"2 days, 1:00:00"
FibonacciPullback,haussier,1,1.13,0.0,100.0,0.0,-100.0,-100.0,1.13,0,"2 days, 8:00:00"
FibonacciPullback,stable,1,0.23,0.0,100.0,0.0,-100.0,-100.0,0.23,0,"3 days, 20:00:00"
HeikinAshiTrend,baissier,24,-10.6,15.94,58.3,0.47,-2.83,-3.96,-0.44166666666666665,5,"1 day, 2:30:00"
HeikinAshiTrend,full_12m,197,-21.17,37.29,57.4,0.85,-0.65,-0.82,-0.10746192893401016,9,"1 day, 13:55:00"
HeikinAshiTrend,haussier,34,1.78,9.06,70.6,1.08,0.56,0.72,0.05235294117647059,3,"1 day, 14:21:00"
HeikinAshiTrend,stable,24,2.62,10.55,54.2,1.19,0.83,0.92,0.10916666666666668,6,"1 day, 12:50:00"
IchimokuBreakout,baissier,16,4.67,4.11,50.0,1.61,1.37,3.16,0.291875,5,14:45:00
IchimokuBreakout,full_12m,104,-4.75,13.91,43.3,0.93,-0.18,-0.35,-0.04567307692307692,7,"1 day, 0:14:00"
IchimokuBreakout,haussier,12,4.93,2.39,50.0,1.94,1.81,3.83,0.41083333333333333,3,20:00:00
IchimokuBreakout,stable,10,2.69,4.92,50.0,1.53,1.0,1.86,0.269,3,"1 day, 0:24:00"
KAMAAdaptiveTrend,baissier,2,0.76,0.0,100.0,0.0,443.45,-100.0,0.38,0,0:00:00
KAMAAdaptiveTrend,full_12m,7,7.36,0.0,100.0,0.0,0.6,-100.0,1.0514285714285714,0,"1 day, 10:17:00"
