strategy,regime,trades,profit_pct,drawdown_pct,win_rate,profit_factor,sharpe,sortino,expectancy,max_consecutive_losses,avg_duration
ADXRegimeFilter,is_9m,15,2.92,0.61,86.7,5.7,0.85,-100.0,0.19466666666666665,1,"3 days, 5:04:00"
BollingerMACDReversal,is_9m,4,0.66,0.0,100.0,0.0,0.8,-100.0,0.165,0,21:00:00
EMATripleCross,is_9m,7,2.22,0.0,100.0,0.0,1.31,-100.0,0.31714285714285717,0,20:00:00
FibonacciPullback,is_9m,11,1.73,0.0,100.0,0.0,1.08,-100.0,0.15727272727272726,1,"1 day, 23:16:00"
IchimokuBreakout,is_9m,87,-1.75,3.87,42.5,0.87,-0.4,-0.83,-0.020114942528735632,9,"1 day, 1:53:00"
KAMAAdaptiveTrend,is_9m,4,1.16,0.0,100.0,0.0,0.7,-100.0,0.29,0,"2 days, 8:00:00"
MACDDivergence,is_9m,94,10.33,3.83,48.9,1.71,1.56,3.45,0.10989361702127659,8,"1 day, 18:28:00"
MARibbonStack,is_9m,72,7.79,3.31,38.9,1.85,1.2,8.54,0.10819444444444444,13,"1 day, 14:43:00"
MoneyFlowIndex,is_9m,16,2.18,0.0,100.0,0.0,1.62,-100.0,0.13625,3,"4 days, 1:00:00"
OBVDivergence,is_9m,27,3.95,0.62,74.1,3.85,1.06,1.37,0.1462962962962963,1,"1 day, 17:56:00"
OBVTrendConfirm,is_9m,7,0.73,0.04,85.7,18.17,0.75,-100.0,0.10428571428571429,1,14:51:00
RSIDivergence,is_9m,47,6.91,0.24,80.9,9.25,3.22,10.79,0.14702127659574468,2,"2 days, 12:56:00"
RangeBreakoutVolume,is_9m,36,1.82,1.01,41.7,1.95,0.71,2.05,0.050555555555555555,8,13:32:00
SmartMoneyConcepts,is_9m,59,6.72,0.47,66.1,4.56,2.64,6.29,0.11389830508474576,4,19:07:00
TripleScreenElder,is_9m,4,0.94,0.0,100.0,0.0,0.81,-100.0,0.235,0,17:00:00
VolatilityBreakout,is_9m,25,1.84,0.06,88.0,27.25,1.94,4.81,0.0736,2,7:05:00
WyckoffAccumulation,is_9m,8,6.32,0.0,100.0,0.0,1.18,-100.0,0.79,0,"2 days, 18:30:00"
ZScoreMeanReversion,is_9m,3,0.36,0.0,100.0,0.0,0.37,-100.0,0.12,0,"2 days, 17:20:00"
