strategy,regime,trades,profit_pct,drawdown_pct,win_rate,profit_factor,sharpe,sortino,expectancy,max_consecutive_losses,avg_duration
ADXRegimeFilter,is_9m,15,2.92,0.61,86.7,5.7,0.85,-100.0,0.19466666666666665,1,"3 days, 5:04:00"
ADXRegimeFilter,is_9m_post_hyperopt,8,2.1,0.0,100.0,0.0,1.35,-100.0,0.2625,0,"2 days, 16:30:00"
ADXRegimeFilter,oos,9,-3.39,3.77,44.4,0.13,-1.09,-1.44,-0.3766666666666667,2,"2 days, 17:20:00"
BollingerMACDReversal,is_9m,4,0.66,0.0,100.0,0.0,0.8,-100.0,0.165,0,21:00:00
BollingerMACDReversal,is_9m_post_hyperopt,10,2.6,0.0,100.0,0.0,1.5,-100.0,0.26,0,"1 day, 9:12:00"
BollingerMACDReversal,oos,7,-2.87,3.17,57.1,0.1,-0.73,-0.83,-0.41000000000000003,3,"2 days, 6:51:00"
EMATripleCross,is_9m,7,2.22,0.0,100.0,0.0,1.31,-100.0,0.31714285714285717,0,20:00:00
EMATripleCross,is_9m_post_hyperopt,9,3.33,0.0,100.0,0.0,1.08,-100.0,0.37,1,"2 days, 0:27:00"
EMATripleCross,oos,3,0.22,0.37,33.3,1.6,0.1,-100.0,0.07333333333333333,1,"3 days, 1:20:00"
FibonacciPullback,is_9m,11,1.73,0.0,100.0,0.0,1.08,-100.0,0.15727272727272726,1,"1 day, 23:16:00"
FibonacciPullback,is_9m_post_hyperopt,39,5.41,0.41,87.2,9.45,2.35,2.73,0.1387179487179487,1,20:43:00
FibonacciPullback,oos,12,-6.94,7.16,33.3,0.1,-1.42,-1.51,-0.5783333333333334,5,"2 days, 7:40:00"
IchimokuBreakout,is_9m,87,-1.75,3.87,42.5,0.87,-0.4,-0.83,-0.020114942528735632,9,"1 day, 1:53:00"
IchimokuBreakout,oos,38,0.93,1.16,47.4,1.22,0.57,1.13,0.024473684210526318,5,14:00:00
KAMAAdaptiveTrend,is_9m,4,1.16,0.0,100.0,0.0,0.7,-100.0,0.29,0,"2 days, 8:00:00"
KAMAAdaptiveTrend,oos,3,0.32,0.0,100.0,0.0,1.43,-100.0,0.10666666666666667,0,5:20:00
MACDDivergence,is_9m,94,10.33,3.83,48.9,1.71,1.56,3.45,0.10989361702127659,8,"1 day, 18:28:00"
MACDDivergence,is_9m_post_hyperopt,63,11.61,2.38,54.0,2.6,1.81,4.71,0.18428571428571427,6,"1 day, 11:18:00"
MACDDivergence,oos,38,-3.91,7.97,34.2,0.6,-1.39,-2.31,-0.10289473684210526,16,"1 day, 23:35:00"
MARibbonStack,is_9m,72,7.79,3.31,38.9,1.85,1.2,8.54,0.10819444444444444,13,"1 day, 14:43:00"
MARibbonStack,oos,26,0.33,1.78,34.6,1.08,0.16,0.98,0.012692307692307694,7,"1 day, 14:55:00"
MoneyFlowIndex,is_9m,16,2.18,0.0,100.0,0.0,1.62,-100.0,0.13625,3,"4 days, 1:00:00"
MoneyFlowIndex,is_9m_post_hyperopt,10,1.51,0.0,100.0,0.0,1.1,-100.0,0.151,1,"2 days, 2:48:00"
MoneyFlowIndex,oos,2,0.18,0.0,100.0,0.0,0.35,-100.0,0.09,1,"2 days, 10:00:00"
OBVDivergence,is_9m,27,3.95,0.62,74.1,3.85,1.06,1.37,0.1462962962962963,1,"1 day, 17:56:00"
OBVDivergence,is_9m_post_hyperopt,69,9.18,1.1,72.5,3.48,2.21,2.08,0.13304347826086957,3,"1 day, 19:50:00"
OBVDivergence,oos,33,-5.82,7.59,39.4,0.36,-1.41,-1.2,-0.17636363636363636,8,"3 days, 0:29:00"
OBVTrendConfirm,is_9m,7,0.73,0.04,85.7,18.17,0.75,-100.0,0.10428571428571429,1,14:51:00
OBVTrendConfirm,is_9m_post_hyperopt,1,0.14,0.0,100.0,0.0,-100.0,-100.0,0.14,0,"1 day, 20:00:00"
OBVTrendConfirm,oos,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
RSIDivergence,is_9m,47,6.91,0.24,80.9,9.25,3.22,10.79,0.14702127659574468,2,"2 days, 12:56:00"
RSIDivergence,is_9m_post_hyperopt,46,7.55,0.0,100.0,0.0,4.35,-100.0,0.1641304347826087,2,"3 days, 20:42:00"
RSIDivergence,oos,27,0.88,3.43,77.8,1.23,0.29,0.24,0.03259259259259259,4,"2 days, 22:31:00"
RangeBreakoutVolume,is_9m,36,1.82,1.01,41.7,1.95,0.71,2.05,0.050555555555555555,8,13:32:00
RangeBreakoutVolume,is_9m_post_hyperopt,9,2.52,0.17,66.7,15.62,0.6,3.11,0.28,3,18:53:00
RangeBreakoutVolume,oos,3,-0.27,0.27,0.0,0.0,-1.06,-1.06,-0.09000000000000001,3,3:20:00
SmartMoneyConcepts,is_9m,59,6.72,0.47,66.1,4.56,2.64,6.29,0.11389830508474576,4,19:07:00
SmartMoneyConcepts,is_9m_post_hyperopt,41,4.69,0.21,65.9,6.26,2.08,7.69,0.11439024390243903,3,17:38:00
SmartMoneyConcepts,oos,18,1.19,0.57,55.6,2.51,1.13,1.72,0.0661111111111111,4,15:27:00
TripleScreenElder,is_9m,4,0.94,0.0,100.0,0.0,0.81,-100.0,0.235,0,17:00:00
